<|	Element	Type	Label	Synonyms	Parent (Tree selector)	Applications	is_a	part_of	located_at	affects	can_affect	is_involved_in	quality_of	related_to
402	seasonality	TOPIC	Seasonality	seasons	climate	data4sdgs	climate			monsoon, hurricane, typhoon,agriculture,precipitation,temperature	sea_ice, water_avaliability			
403	energy	TOPIC	Energy		general	data4sdgs	general							
404	energy_production	TOPIC	Energy Production		energy	data4sdgs				emissions, commodity			energy	
406	energy_efficiency	TOPIC	Energy Efficiency		energy	data4sdgs				ghg,emissions,income			energy	
407	emissions	TOPIC	Emissions		climate	data4sdgs				air_quality	ghg		climate	
408	renewable_energy 	TOPIC	Renewable	Renewables	energy_production	data4sdgs	energy_production			emissions				
409	nonrenewable_energy	TOPIC	Nonrenewable Energy	Nonrenewables	energy_production	data4sdgs	energy_production			emissions,pollution	mining,drilling			
410	power_plant	TOPIC	Power Plants	Power Plant	energy_infrastructure	data4sdgs	energy_infrastructure				energy_access,water_access			energy_production
411	solar_energy	TOPIC	Solar Energy		renewable_energy	data4sdgs	renewable_energy							energy
412	wind_energy	TOPIC	Wind Energy		renewable_energy	data4sdgs								
413	geothermal	TOPIC	Geothermal		renewable_energy	data4sdgs	renewable_energy							
414	coal	TOPIC	Coal		fuel	data4sdgs	fuel, nonrenewable_energy			air_pollution,emissions,so2,no2,co2	mining,land_use			
416	natural_gas	TOPIC	Natural Gas		fuel	data4sdgs	fuel, nonrenewable_energy			water_quality,co2,ghg,ch4				
417	petroleum	TOPIC	Petroleum	Oil	fuel	data4sdgs	fuel, nonrenewable_energy				climate_change			energy
418	nuclear	TOPIC	Nuclear		energy_production	data4sdgs	energy_production			energy_hazard,mining,land_use	waste			
419	radiation	TOPIC	Radiation		energy_hazard	data4sdgs	energy_hazard				health,water_quality,air_quality			nuclear
420	energy_hazard	TOPIC	Energy Hazard	Energy Hazards	energy	data4sdgs				health			energy	
421	oil_refinery	TOPIC	Oil Refinery	Oil Refineries	energy_infrastructure	data4sdgs	energy_infrastructure							
422	thorium	TOPIC	Thorium		mineral	data4sdgs	mineral					nuclear		commodity
423	hydropower	TOPIC	Hydropower		renewable_energy	data4sdgs	renewable_energy			sedimentation,total_suspended_solids				
424	fuel	TOPIC	Fuel	Fuel	energy	data4sdgs	energy							commodity
425	energy_access	TOPIC	Energy Access		energy	data4sdgs				livelihood,health,income			energy	development
426	power_lines	TOPIC	Power Lines		energy_infrastructure	data4sdgs	energy_infrastructure			energy_access	land_use			
427	pipelines	TOPIC	Pipelines		energy_infrastructure	data4sdgs	energy_infrastructure			energy_access	pollution,spill			energy
428	energy_infrastructure	TOPIC	Energy Infrastructure		energy	data4sdgs	infrastructure			energy_efficiency,gdp,livelihood,land_use			energy	
429	urbanization	TOPIC	Urbanization		urban	data4sdgs	urban			land_cover	deforestation			
430	roads	TOPIC	Roads		infrastructure	data4sdgs	infrastructure, public_service			accessibility	deforestation			
432	urban	TOPIC	Cities	city|urban	settlements	data4sdgs	settlements			land_use				
433	pollution	TOPIC	Pollution		society	data4sdgs				air_quality,water_quality,health			society	
435	public_transportation	TOPIC	Public Transportation		transportation	data4sdgs	transportation, public_service			emissions, accessibility				
436	impervious_surface	TOPIC	Impervious Surface	Impervious Surfaces	land_cover	data4sdgs	land_cover			erosion, flood, heat_island,runoff,groundwater				
437	bus	TOPIC	Buses	Bus	public_transportation	data4sdgs	public_transportation		urban, roads		emissions	accessibility		
438	train	TOPIC	Trains	Rail|Train	public_transportation	data4sdgs	public_transportation				emissions	accessibility		
439	bike	TOPIC	Bikes	Bike	transportation	data4sdgs	transportation		roads	emissions,accessibility 	health			urban
440	car	TOPIC	Cars	Car	transportation	data4sdgs	transportation		roads	emissions,accessibility 				urban
441	accessibility	TOPIC	Accessibility	Accessibilities	urban	data4sdgs				livelihood	vulnerability		urban	
443	greenspace	TOPIC	Greenspace	Greenspace|Parks	urban	data4sdgs				health,air_quality			urban	
444	air_quality	TOPIC	Air Quality	Air Qualities	health	data4sdgs				health			health	urban
445	o3	TOPIC	O3	Ozone	gas	data4sdgs	gas				air_quality, radiation			pollution, urban
446	cfc	TOPIC	CFC	Chlorofluorocarbon	ghg	data4sdgs	ghg				o3			
447	co	TOPIC	CO	Carbon Monoxide	ghg	data4sdgs	ghg			air_quality	health			
448	so2	TOPIC	SO2	Sulfur Dioxide	ghg	data4sdgs	ghg			air_quality				
449	waste	TOPIC	Waste		urban	data4sdgs	pollution			water_quality	biodiversity		urban	
453	heat_island	TOPIC	Heat Islands	Heat Islands	temperature	data4sdgs				health			temperature	
454	disasters	TOPIC	Disasters	Disaster	general	data4sdgs	general			mortality,infrastructure	supply_chain,displaced_people,economic			
455	natural_disaster	TOPIC	Natural Disasters	Natural Disaster	disasters	data4sdgs	disasters			infrastructure,mortality	displaced_people			extreme_event
456	earthquake	TOPIC	Earthquakes	Seismic|Earthquake	natural_disaster	data4sdgs	natural_disaster				tsunami			
457	volcano	TOPIC	Volcanoes	Volcano	natural_disaster	data4sdgs	natural_disaster	land			land_cover			
458	eruption	TOPIC	Eruptions	Eruption	natural_disaster	data4sdgs	natural_disaster		volcano					
459	cold_wave	TOPIC	Cold Waves	Cold Wave	extreme_event	data4sdgs	extreme_event			health,crop_health				
460	heat_wave	TOPIC	Heat Waves	Heat Wave	extreme_event	data4sdgs	extreme_event			health,crop_health				
461	landslide	TOPIC	Landslides	Landslide	natural_disaster	data4sdgs	natural_disaster							disasters
462	hurricane	TOPIC	Hurricanes	Typhoons|Cyclones|Hurricane	natural_disaster	data4sdgs	natural_disaster		coast	storm_surge, wind, precipitation,coastal_flooding				
464	tsunami	TOPIC	Tsunamis	Tsunami	natural_disaster	data4sdgs	natural_disaster		coast	flood				
465	slope	TOPIC	Slope		land	data4sdgs				land_use	landslide, erosion			
466	species	TOPIC	Species		biodiversity	data4sdgs	biodiversity							
467	illegal_activity	TOPIC	Illegal Activity	Illegal Activities	human_activity	data4sdgs	human_activity				fisheries,species,land_use,forest,commodity			
468	ecosystem	TOPIC	Ecosystems	Ecosystem	biodiversity	data4sdgs	biodiversity							
469	poaching	TOPIC	Poaching	Poaching|Poachers	commercial_activity	data4sdgs	commercial_activity,illegal_activity				extinction, endangered, biodiversity			
470	hunting	TOPIC	Hunting		human_activity	data4sdgs	human_activity			species				animal
471	habitat_loss	TOPIC	Habitat Loss	Habitat Losses	habitat	data4sdgs				species				
472	ecoregion	TOPIC	Ecoregions	Ecoregion	ecosystem	data4sdgs							ecosystem	species
473	habitat	TOPIC	Habitats	Habitat	ecosystem	data4sdgs	biodiversity							biodiversity
474	endangered	TOPIC	Endangered		species	data4sdgs					conservation		species	
475	extinction	TOPIC	Extinction	Extinctions	species	data4sdgs				biodiversity	conservation		species	
477	mammal	TOPIC	Mammals	Mammal	animal	data4sdgs	animal							marine_life
478	coral_reef	TOPIC	Coral Reefs	Corals|Coral Reef	reef	data4sdgs	reef		ocean, sea	habitat,fisheries,biodiversity				
479	amphibian	TOPIC	Amphibians	Amphibian	animal	data4sdgs	animal							
481	reef	TOPIC	Reefs	Reef	marine_life	data4sdgs			ocean	biodiversity,fisheries	tourism		ocean	
482	bleaching	TOPIC	Bleaching	Bleachings	coral_reef	data4sdgs				fisheries,biodiversity			coral_reef	
484	marine_life	TOPIC	Marine Life		ocean	data4sdgs			ocean	fishing				biodiversity
485	conservation	TOPIC	Conservation		human_activity	data4sdgs	human_activity			intact_forest,protected_areas				
486	restoration	TOPIC	Restoration		human_activity	data4sdgs	human_activity			habitat				
487	society	TOPIC	Society	People	general	data4sdgs	general							
489	population	TOPIC	Population	Populations	society	data4sdgs					resilience,urban,vulnerability		society	
491	literacy	TOPIC	Literacy		education	data4sdgs	education							education
493	school	TOPIC	School		infrastructure	data4sdgs	infrastructure			literacy				education
494	education	TOPIC	Education		society	data4sdgs				economic,livelihood			society	
495	political_stability	TOPIC	Political Stability		governance	data4sdgs				conflict,security	finance		governance	
496	rights	TOPIC	Rights		justice	data4sdgs				conflict,protest			justice	
497	human_rights	TOPIC	Human Rights		rights	data4sdgs	rights							
498	Indigenous_rights	TOPIC	Indigenous Rights		rights	data4sdgs	rights			indigenous_lands,community_lands			land_rights	
499	land_rights	TOPIC	Land Rights		rights	data4sdgs	rights			indigenous_lands,community_lands				
500	justice	TOPIC	Justice	Justices	governance	data4sdgs				poverty, wealth, protest, conflict			governance	rights
501	protest	TOPIC	Protests	Protest	society	data4sdgs					conflict,rights		society	governance
502	security	TOPIC	Security		society	data4sdgs				conflict,development,tourism	rights		society	
503	corruption	TOPIC	Corruption	Corruption	governance	data4sdgs				gdp,commerce,protest,conflict			governance	political_stability
504	governance	TOPIC	Governance	governments	society	data4sdgs				conflict,economic,development,adaptation,resilience,justice,market_incentives,international_relations	protected_areas,finance		society	
507	displaced_people	TOPIC	Displaced People		migration	data4sdgs				population	economic		migration	land
509	discrimination	TOPIC	Discrimination		justice	data4sdgs				gender,minority,indigenous_lands			justice	
511	resilience	TOPIC	Resilience		society	data4sdgs				adaptation			society	
512	vulnerability	TOPIC	Vulnerability		society	data4sdgs	society			development,resilience,adaptation				
514	refugee	TOPIC	Refugee	Refugees|Migrants	displaced_people	data4sdgs	displaced_people			conflict,vulnerability,population				
515	women	TOPIC	Women	female|girls|woman	gender	data4sdgs	gender			rights				
516	gender	TOPIC	Gender	Genders	society	data4sdgs				rights	vulnerability,economic,inequality		society	
517	poverty	TOPIC	Poverty		economic	data4sdgs				malnutrition,nutrition,health,security	energy_access, vulnerability, mortality		economic	
518	mortality	TOPIC	Mortality	Mortalities	health	data4sdgs				population			health	
519	wealth	TOPIC	Wealth		economic	data4sdgs				inequality,health,education	food_waste		economic	
520	inequality	TOPIC	Inequality	Inequalities	society	data4sdgs				poverty, wealth, protest, conflict	vulnerability		society	economic
522	health	TOPIC	Health	well-being	society	data4sdgs					vulnerability, resilience		society	
523	gdp	TOPIC	GDP	Gross Domestic Product	economic	data4sdgs				livelihood	vulnerability		economic	
524	disease	TOPIC	Disease	Diseases|illnesses|sick	health	data4sdgs				mortality			health	
527	protected_areas	TOPIC	Protected Area	National Parks|Reserves|Protected Areas	land	data4sdgs	land			biodiversity,species,tourism				biodiversity, conservation
528	developed	TOPIC	Developed		development	data4sdgs	development						development	
529	developing	TOPIC	Developing		development	data4sdgs	development						development	
530	low_income	TOPIC	Low Income		income	data4sdgs				vulnerability			income	
531	middle_income	TOPIC	Middle Income		income	data4sdgs				vulnerability			income	
532	high_income	TOPIC	High Income		income	data4sdgs				vulnerability			income	
533	commerce	TOPIC	Commerce		general	data4sdgs	general			economic				
534	supply_chain	TOPIC	Supply Chains	Supply Chain	commerce	data4sdgs				livelihood,trade			commerce	
535	fertilizer	TOPIC	Fertilizer	Fertilizers	agriculture	data4sdgs				nitrogen,phosphorus,nutrients	harmful_algal_blooms		agriculture	
536	exposure	TOPIC	Exposure	Exposures	resilience	data4sdgs				vulnerability, damage, resilience				
537	adaptation	TOPIC	Adaptation	Adaptations	society	data4sdgs				vulnerability, damage, resilience			society	
538	mitigation	TOPIC	Mitigation	Mitigations	society	data4sdgs				ghg	vulnerability, damage, resilience		society	
539	storm_surge	TOPIC	Storm Surge	Storm Surges	storm	data4sdgs			coast				storm	
540	sustainable_development	TOPIC	Sustainable Development		development	data4sdgs	development			economic, developing, climate_change	vulnerability			
543	emergency_services	TOPIC	Emergency Services		public_service	data4sdgs	public_service			vulnerability, response, damage, resilience				
544	adaptive_capacity	TOPIC	Adaptive Capacity	capacities	adaptation	data4sdgs				vulnerability, response, damage, resilience			adaptation	
545	economic	TOPIC	Economic	economics	society	data4sdgs				vulnerability	F		society	
	concessions	TOPIC	Concessions		commercial_activity	data4sdgs				commercial_activity, deforestation, mining, pollution, exploitation				
546	response	TOPIC	Response	Responses	human_activity	data4sdgs	human_activity			health				
548	development	TOPIC	Development		society	data4sdgs				economic	energy_access,water_access,heat_island		society	
551	early_warning	TOPIC	Early Warning	Early Warnings|Predictions|Forecasts	response	data4sdgs	response			vulnerability, response,health,mortality				
554	stormwater	TOPIC	Stormwater	stormwaters	water	data4sdgs	water				flood,water_quality,erosion			precipitation, storm
557	climate_hazard	TOPIC	Climate Hazard	Climate Hazards	climate	data4sdgs							climate	
564	emergency_response	TOPIC	Emergency Response	Emergency Responses	emergency_service	data4sdgs				vulnerability, health, damage, resilience				disaster,extreme_event
565	coastal_erosion	TOPIC	Coastal Erosion		coast	data4sdgs	erosion			vulnerability, infrastructure			coast	
566	water_security	TOPIC	Water Security		water_access	data4sdgs				conflict,famine			water_access	
568	wildfire	TOPIC	Wildfires	Wildfire	fire	data4sdgs	fire			air_quality	forest			
570	water_supply	TOPIC	Water Supply	Water Supplies	water_access	data4sdgs					water_security,irrigation		water_access	
571	coastal_flooding	TOPIC	Coastal Flooding	Coastal Floodings	coast	data4sdgs	flood			vulnerability, infrastructure,mortality	coastal_erosion		coast	
572	runoff	TOPIC	Runoff		precipitation	data4sdgs							precipitation	precipitation
	community_lands	TOPIC	Community Lands		administrative_boundaries	data4sdgs	administrative_boundaries							
	Indigenous_lands	TOPIC	Indigenous Lands		administrative_boundaries	data4sdgs	administrative_boundaries							
	national	TOPIC	National		administrative_boundaries	data4sdgs	administrative_boundaries							
	subnational	TOPIC	Subnational		administrative_boundaries	data4sdgs	administrative_boundaries							
	bird	TOPIC	Birds	Bird	animal	data4sdgs	animal							
	reptile	TOPIC	Reptiles	Reptile	animal	data4sdgs	animal							
	air_pressure	TOPIC	Air Pressure	Air Pressures	climate	data4sdgs				storm,extreme_event			climate	
	climate_zone	TOPIC	Climate Zone	Climate Zones	climate	data4sdgs	climate			biome				
	evapotranspiration	TOPIC	Evapotranspiration		climate	data4sdgs					drought		climate	
	gas	TOPIC	Gases	Gas	climate	data4sdgs	climate							
	commercial_activity	TOPIC	Commercial Activity	Commercial Activities	commerce	data4sdgs	commerce			livelihood,food_and_agriculture	shipping			
	shipping	TOPIC	Shipping		commerce	data4sdgs				biodiversity,water_quality,transportation,supply_chain	livelihood			
	mining	TOPIC	Mining		commercial_activity	data4sdgs	commercial_activity			minerals,trade,energy_production,non_renewable,water_quality,soil,land_use,erosion,infrastructure,deforestation,land_rights				
	drilling	TOPIC	Drilling		commercial_activity	data4sdgs	commercial_activity			minerals,trade,energy_production,non_renewable,water_quality,soil,land_use,infrastructure,land_rights				
	market_incentives	TOPIC	Market Incentives		commerce	data4sdgs	commerce			gdp,trade,finance				
	international_relations	TOPIC	International Relations		society	data4sdgs	society				market_incentives,trade			
	treaty	TOPIC	Treaties	Treaty	international_relations	data4sdgs	international_relations			trade				
	finance	TOPIC	Finance	Finances	economic	data4sdgs				development,infrastructure,trade			economic	
	trade	TOPIC	Trade	Trades	commercial_activity	data4sdgs	commercial_activity			livelihood,supply_chain,commodity	food_price,gdp		commerce	
	mineral	TOPIC	Minerals	Mineral	commodity	data4sdgs	commodity			land_use				
	corn	TOPIC	Corn		crop	data4sdgs	crop							
	cropland	TOPIC	Croplands	Cropland	crop	data4sdgs					land_cover			
	rice	TOPIC	Rice		crop	data4sdgs	crop							
	soy	TOPIC	Soy		crop	data4sdgs	crop							
	wheat	TOPIC	Wheat		crop	data4sdgs	crop							
	internally_displaced	TOPIC	Internally Displaced		displaced_people	data4sdgs	displaced_people			conflict				
	income	TOPIC	Income	Incomes	economic	data4sdgs				food_security,health,education,poverty	vulnerability,energy_access		economic	
	livelihood	TOPIC	Livelihood	Livelihoods	economic	data4sdgs				income,food_and_agriculture,commerce	security		economic	
	biodiversity	TOPIC	Biodiversity		general	data4sdgs					tourism,food_security		general	
	tourism	TOPIC	Tourism	Tourists	commercial_activity	data4sdgs	commercial_activity			livelihood,infrastructure				
	lights	TOPIC	Lights		energy_access	data4sdgs	energy_access				species,education			
	energy_demand	TOPIC	Energy Demand		energy	data4sdgs				ghg,emissions,energy_production,infrastructure			energy	
	spill	TOPIC	Spill	Spills|leaks	energy_hazard	data4sdgs	energy_hazard				health,biodiversity,water_quality,ocean			
	food_production	TOPIC	Food Production		food_and_agriculture	data4sdgs					livelihood,economic		food_and_agriculture	
	pasture	TOPIC	Pasture	Grazing|Pasture	food_and_agriculture	data4sdgs	food_and_agriculture			land_use,land_cover				
	groundwater	TOPIC	Groundwater		water	data4sdgs	water			water_access				
	snow_and _ice	TOPIC	Snow and Ice		water	data4sdgs	water			sea_level, albedo	flood,river,water_access			
	surface_water	TOPIC	Surface Water		water	data4sdgs	water			water_access				
	fossil_fuel	TOPIC	Fossil Fuel	Fossil Fuels	fuel	data4sdgs	fuel			emissions,co2				
	administrative_boundaries	TOPIC	Administrative Boundaries		general	data4sdgs	general							
	settlements	TOPIC	Settlements 	Settlement|Cities|Infrastructure	general	data4sdgs	general			land_cover,land_use,population	heat_island			
	sanitation	TOPIC	Sanitation		health	data4sdgs							health	
	hospital	TOPIC	Hospital	Hospitals	infrastructure	data4sdgs	infrastructure							
	transportation	TOPIC	Transportation	Transport	infrastructure	data4sdgs	infrastructure			accessibility,livelihood	emissions,supply_chain			urban
	minority	TOPIC	Minority	Minorities	justice	data4sdgs								
	elevation	TOPIC	Elevation		land	data4sdgs							land	
	land_cover	TOPIC	Land Cover		land	data4sdgs				albedo,ghg,emissions			land	
	land_use	TOPIC	Land Use		land	data4sdgs				land_cover,ghg,emissions			land	
	permafrost	TOPIC	Permafrost		land	data4sdgs	land			ch4	infrastructure			
	roadless_area	TOPIC	Roadless Areas	Roadless Area	land	data4sdgs	land			biodiversity,species,intact_forest				roads
	soil	TOPIC	Soils	Soil	land	data4sdgs	land			food_and_agriculture				
	uranium	TOPIC	Uranium		mineral	data4sdgs	mineral					nuclear		commodity
	tornado	TOPIC	Tornados	Tornado	natural_disaster	data4sdgs	natural_disaster							
	salinity	TOPIC	Salinity	Salinities	ocean	data4sdgs				habitat			ocean	
	monsoon	TOPIC	Monsoons	Monsoon	precipitation	data4sdgs	precipitation			wind,coastal_flooding,flood	food_and_agriculture,drought			
	airplane	TOPIC	Airplane	Planes|Airplanes	public_transportation	data4sdgs	public_transportation				emissions	accessibility		
	airport	TOPIC	Airport	Airports	public_transportation	data4sdgs	public_transportation				emissions	accessibility		
	train_station	TOPIC	Train Station	Train Stations	public_transportation	data4sdgs	public_transportation					accessibility		train
	natural_resource	TOPIC	Natural Resource	Natural Resources	resource	data4sdgs	resource			trade,commodity				
	resource_scarcity	TOPIC	Resource Scarcity	Resource Scarcities	natural_resource	data4sdgs							natural_resource	
	sea_level_rise	TOPIC	Sea Level Rise	Sea Level Rises|Rising	sea_level	data4sdgs	process		coast	flood,coastal_erosion,coastal_flooding	infrastructure,land_cover,water		sea_level	
	affiliation	TOPIC	Affiliations		international_relations	data4sdgs	society			market_incentives,sustainable_development				
	human_activity	TOPIC	Human Activity	Human Activities	society	data4sdgs				land_use,livelihood			society	
	migration	TOPIC	Migration	Migrations	society	data4sdgs				conflict			society	refugee
	public_service	TOPIC	Public Services	Public Service	society	data4sdgs				resilience,vulnerability			society	
	cyanobacteria	TOPIC	Cyanobacteria	Cyanobacterias	species	data4sdgs	species				water_quality,health			
	threatened	TOPIC	Threatened		species	data4sdgs					conservation		species	
	urban_expansion	TOPIC	Urban Expansion		urban	data4sdgs				land_cover	accessibility, heat_island, park, greenspace		urban	
	dead_zone	TOPIC	Dead Zone	Anoxic|Dead Zones	water_quality	data4sdgs			ocean,lake,river	biodiversity,fisheries,water_quality			water_quality	
	nutrients	TOPIC	Nutrients		water_quality	data4sdgs	water_quality			water_quality	harmful_algal_blooms			plant
	weather	TOPIC	Weather		climate	data4sdgs	climate							
	biomass	TOPIC	Biomass		forest	data4sdgs				co2,ghg,carbon	climate_change			
	smoke	TOPIC	Smoke		fire	data4sdgs	fire			air_quality				
	carbon	TOPIC	Carbon		climate	data4sdgs				climate				
	investments	TOPIC	Investments		commerce	data4sdgs				commerce,development,international_relations				
	sustainable_development_goals	SDG	Sustainable Development Goals	SDGs	general	data4sdgs	general							
	SDG_1_No_Poverty	SDG	SDG 1 No Poverty		sustainable_development_goals		sustainable_development_goals							
	SDG_2_Zero_Hunger	SDG	SDG 2 Zero Hunger		sustainable_development_goals		sustainable_development_goals							
	SDG_3_Good_Health_and_Well-being	SDG	SDG 3 Good Health and Well-being		sustainable_development_goals		sustainable_development_goals							
	SDG_4_Quality_Education	SDG	SDG 4 Quality Education		sustainable_development_goals		sustainable_development_goals							
	SDG_5_Gender_Equality	SDG	SDG 5 Gender Equality		sustainable_development_goals		sustainable_development_goals							
	SDG_6_Clean_Water_and_Sanitation	SDG	SDG 6 Clean Water and Sanitation		sustainable_development_goals		sustainable_development_goals							
	SDG_7_Affordable_and_Clean_Energy	SDG	SDG 7 Affordable and Clean Energy		sustainable_development_goals		sustainable_development_goals							
	SDG_8_Decent_Work_and_Economic_Growth	SDG	SDG 8 Decent Work and Economic Growth		sustainable_development_goals		sustainable_development_goals							
	SDG_9_Industry_Innovation_and_Infrastructure	SDG	SDG 9 Industry, Innovation and Infrastructure		sustainable_development_goals		sustainable_development_goals							
	SDG_10_Reduced_Inequalities	SDG	SDG 10 Reduced Inequalities		sustainable_development_goals		sustainable_development_goals							
	SDG_11_Sustainable_Cities_and_Communities	SDG	SDG 11 Sustainable Cities and Communities		sustainable_development_goals		sustainable_development_goals							
	SDG_12_Responsible_Consumption_and_Production	SDG	SDG 12 Responsible Consumption and Production		sustainable_development_goals		sustainable_development_goals							
	SDG_13_Climate_Action	SDG	SDG 13 Climate Action		sustainable_development_goals		sustainable_development_goals							
	SDG_14_Life_below_Water	SDG	SDG 14 Life below Water		sustainable_development_goals		sustainable_development_goals							
	SDG_15_Life_on_Land	SDG	SDG 15 Life on Land		sustainable_development_goals		sustainable_development_goals							
	SDG_16_Peace_Justice_and_Strong_Institutions	SDG	SDG 16 Peace Justice and Strong Institutions		sustainable_development_goals		sustainable_development_goals							
	SDG_17_Partnership_for_Goals	SDG	SDG 17 Partnership for Goals		sustainable_development_goals		sustainable_development_goals							
